,number,fieldnumber,depth_capture_range_ft,depth_capture_avg_m,depth_avg,weight_g,SL_mm,TL_mm,sex,gonad_weight_g,guts_preserved,whole_fish_preserved,notes,gonad_index,tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.,depth_categorical,muscle_ctotal,muscle_ntotal,scale_ctotal,scale_ntotal,heart_ctotal,heart_ntotal,calibration,tp,tissue,c,n,tissuedepth
73,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,muscle,-17.39,9.55,muscle_deep
76,CUR_LION19027,CURASUB19-04,290 ft,88.392,290,467,275,375,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,179.27,58.4,109.42,38.12,184.48,48.64,average,2.632352941,muscle,-17.595,9.55,muscle_deep
79,CUR_LION19028,CURASUB19-04,350 ft,106.68,350,670,300,390,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",deep,187.34,53.01,116.22,40.1,186.36,49.09,average,2.970588235,muscle,-17.77,10.7,muscle_deep
82,CUR_LION19029,CURASUB19-04,390 ft,118.872,390,664,305,405,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",deep,172.55,53.81,105.59,36.8,176.235,45.94,average,2.958823529,muscle,-17.69,10.66,muscle_deep
85,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,muscle,-17.035,9.975,muscle_deep
88,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,muscle,-16.96,9.95,muscle_deep
91,CUR_LION19032,CURASUB19-05,340 ft,103.632,340,320,218,290,F,32,YES,YES,,Actively Spawning,"S, M, H",deep,174.835,56.105,115.62,39.09,192.31,48.7,average,2.848529412,muscle,-17.185,10.285,muscle_deep
94,CUR_LION19033,CURASUB19-05,330 ft,100.584,330,700,300,410,M,<1,YES,YES,,Spawning capable,"S, M, H",deep,184.05,58.95,113.03,38.25,175.2,44.87,single,2.755882353,muscle,-17.47,9.97,muscle_deep
97,CUR_LION19034,CURASUB19-05,300 ft,91.44,300,196,190,255,F,5,YES,YES,,Spawning capable,"S, M, H",deep,179.905,54.99,114.76,38.77,189.36,50.16,average,2.507352941,muscle,-17.995,9.125,muscle_deep
103,CUR_LION19036,CURASUB19-05,440,134.112,440,562,265,345,F,11,YES,YES,,Developing,"S, M, H",deep,181.62,58.16,118,41.37,177.44,45.2,single,2.994117647,muscle,-17.11,10.78,muscle_deep
109,CUR_LION19038,CURASUB19-06,338,103.0224,338,1007,330,430,M,<1,YES,YES,,Spawning capable,"S, M, H",deep,182.76,58.83,106.52,37.16,170.47,44.045,average,3.061764706,muscle,-16.74,11.01,muscle_deep
112,CUR_LION19039,CURASUB19-06,484,147.5232,484,1033,345,440,M,2,YES,YES,,Spawning capable,"S, M, H",deep,183.69,57.39,114.86,39.19,173.34,45.09,average,3.105882353,muscle,-17.225,11.16,muscle_deep
115,CUR_LION19040,CURASUB19-06,470,143.256,470,268,210,280,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.81,57.94,117.2,39.87,183.5,47.47,single,3.091176471,muscle,-17.33,11.11,muscle_deep
118,CUR_LION19041,CURASUB19-06,445,135.636,445,168,190,250,F,4,YES,YES,,Spawning capable,"S, M, H",deep,179.37,56.34,116.62,40.23,188.36,44.49,single,2.841176471,muscle,-16.81,10.26,muscle_deep
121,CUR_LION19042,CURASUB19-06,420,128.016,420,240,200,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,184.4,59.12,118.74,40.965,178.06,45,average,2.732352941,muscle,-16.43,9.89,muscle_deep
124,CUR_LION19043,CURASUB19-06,426,129.8448,426,266,200,285,F,2,YES,YES,,Developing,"S, M, H",deep,186.545,58.72,117.16,39.87,183.8,47.355,average,2.383823529,muscle,-16.58,8.705,muscle_deep
127,CUR_LION19044,CURASUB19-06,423,128.9304,423,366,265,330,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,186.74,57.35,122.9,41.87,178.56,49.67,single,3.097058824,muscle,-17.19,11.13,muscle_deep
130,CUR_LION19045,CURASUB19-06,443,135.0264,443,376,240,310,M,<1,YES,YES,,Spawning capable,"S, M, H",deep,189.7,53.81,114.115,39.065,178.11,44.46,average,2.879411765,muscle,-18.37,10.39,muscle_deep
151,CUR_LION19052,CURASUB19-07,314,95.7072,314,640,312,415,M,<1,YES,YES,"very thin, check age.  Little muscle mass, testes were very small, dark brown",Spawning capable,"S,M,H",deep,189.81,61.67,110.95,39.08,178.025,47.625,average,2.823529412,muscle,-16.99,10.2,muscle_deep
154,CUR_LION19053,CURASUB19-07,415,126.492,415,361,245,320,F,5,YES,YES,,Actively Spawning,"S, M, H",deep,181.17,57.145,111.34,38.61,182.44,51.255,average,2.941176471,muscle,-16.94,10.6,muscle_deep
157,CUR_LION19054,CURASUB19-07,361,110.0328,361,334,220,300,F,4,YES,YES,,Developing,"S, M, H",deep,183.93,56.77,116.5,39.52,175.09,45.19,single,3.017647059,muscle,-17.15,10.86,muscle_deep
160,CUR_LION19055,CURASUB19-07,387,117.9576,387,339,235,310,F,31,YES,YES,,Actively Spawning,"S, M, H",deep,182.22,57.975,110.04,38.08,180.58,45.34,average,2.757352941,muscle,-17.385,9.975,muscle_deep
163,CUR_LION19056,CURASUB19-07,415,126.492,415,396,235,330,F,8,YES,YES,,Spawning Capable,"S, M, H",deep,180.99,56.42,109.6,38.15,180.8,48.74,single,3.197058824,muscle,-17.1,11.47,muscle_deep
166,CUR_LION19057,CURASUB19-07,305,92.964,305,183,195,250,F,1,YES,YES,,developing,"S, M, H",deep,195.02,58.26,121.72,41.59,188.3,48.43,single,2.591176471,muscle,-17.17,9.41,muscle_deep
